index,Primary Investor Type,target Investment Country,Investment Type,Preferred Industry
597,4,0,0,0
598,4,0,0,0
599,4,0,0,0
600,4,0,0,0
601,4,0,0,0
602,4,0,0,0
603,4,0,0,0
604,21,0,0,22
605,21,35,0,0
606,"21",0,"0",129
607,131,0,"26,40",0
608,59,0,"54,57",0
609,4,0,0,0
610,21,52,0,"22,143"
611,21,21,0,"111,214"
612,5,46,0,0
613,5,"76",26,0
614,131,112,0,"8,19,84,108,241"
615,25,0,"0","101,183,192"
616,"97,107",0,"0","5,36,129,167,171,263,269"
617,"59,107",0,"18,30,54,57,74,90",0
618,97,103,0,"50,107,259"
619,"85",16,"0",27
620,0,0,0,0
621,97,0,0,"30,255"
622,"59,107",0,"35,54",0
623,97,0,0,"80,171"
624,214,0,"0","129,214"
625,"74",0,"18,72,74","151,180,182,227"
626,"87",0,"0","129,107"
627,21,0,0,"108,162,163"
628,21,110,"0",206
629,21,0,0,89
630,"97,107",0,"18,68,69","91,230"
631,21,0,"0","129"
632,1,"102",0,0
633,21,0,0,"155"
634,131,0,"81","153"
635,21,0,0,"101,111"
636,21,6,0,"6"
637,21,0,0,6
638,5,50,26,"77,79,129,165"
639,131,0,"4,66,81",0
640,0,0,0,0
641,0,0,0,0
642,21,0,0,232
643,4,0,0,0
644,0,0,0,0
645,21,0,0,91
646,"21",0,"0",137
647,0,0,0,0
648,21,0,"0",111
649,"74",0,"0",0
650,"21",0,"0","6,42,101,107,111,129,153,198,255,256"
651,21,0,0,174
652,4,0,0,0
653,0,0,0,0
654,4,0,0,0
655,4,0,0,0
656,4,0,0,0
657,97,0,"18,69",255
658,4,0,0,0
659,21,0,0,35
660,21,0,"0",206
661,"97,107",0,0,"57,151,210,232"
662,21,54,0,"187"
663,"21",0,"0",0
664,59,0,"35,54",0
666,4,0,0,0
667,4,0,0,0
668,80,114,"0","56,69"
669,"21",0,"0",203
670,0,0,0,0
671,"21",0,"0","129"
672,21,0,0,"57,154"
673,"21",100,"0",227
674,"21",0,"0",91
675,"89",45,"0",0
676,"105",0,"0",227
677,97,110,"0","34,129,255"
678,0,0,0,0
679,"21",54,"0",107
680,80,114,"0",18
681,0,0,0,0
682,"14",0,"0",0
683,0,0,0,0
684,21,36,"0",155
685,"60",0,"0","91,107,155,182"
686,21,0,0,"91,263"
687,21,0,0,"129"
688,"21",3,"0","78,129"
689,"21",114,"0",0
