index,Primary Investor Type,Target Investment Country,Investment Type,Preferred Industry
262,28,0,0,7;19;30;42;129;146;180;255;258
263,97;131,101,0,43;57;107;108;118
264,131,0,0,57;71;91;101;102;129;177;183;255
265,131,101,26,255
266,28,0,0,91;127;129;153;165;171;177
267,94;78,0,6,0
268,131,11;26;78,26,175;215;241
269,97,0,0,36;241
270,97;107,79,0,13;22;28;59;85;111;112;129;227;274
271,42,0,13;69;72,0
272,1,52,0,19;84;85;122;200;232
273,28,70;78,0,1;8;19;29;83;107;108;153;165;189
274,28,0,0,0
275,97,100,0,47;79;129;190
276,131,0,66;81,36;255
277,131,0,0,91;102;202
278,131,0,0,19;225;255
279,97,6;76,0,36;39;57;58;83;107;120;129;147;151;165;177;218;232;255
280,97,0,18;95;131,91
281,131,0,0,31;64
282,1;64,0,0,0
283,107;131,0,0,79;129;130;131;166;274
284,97;107,0,0,129
285,131,6,26;81,43;111;113;177
286,1,75,0,42;43;91
287,6;107,0,0,85;112
288,131,0,0,8;19;47;79
289,97;107,0,18;68;90,107
290,107;131,0,0,57;100;255
291,1,0,0,8;19;68;79;129;165
292,107;131,0,0,57;64;100;108;128;129;182;189;213;233;241;243;251
293,97;107,0,0,100;241
294,107;131,115,0,3;8;19;42;165;233;255
295,73,0,0,0
296,28,0,0,54;150;190
297,21,0,0,0
298,131,1;51;54,0,143;241
299,131,0,26;81,36;50;129;153;241
300,131,0,0,157;241
301,131,0,0,7;42;57;108;111;113;129;150;221
302,131,0,26;49,29;36;108;152;182;227;241
303,131,0,0,240
304,94,0,0,0
305,1;64,10,0,8;19;66;73;108;158;239
306,131,0,26;40,129;133;177
307,97;107,0,0,165;244
308,131,6,0,57;153
309,131,0,0,71
310,50,0,0,31
311,1,115,0,31;77;108
312,1;64,0,0,0
313,97;107,0,0,100;241;255
314,131,16;115,26,255
315,131,35;114,0,1;8;57;83;84;108;126;129;156;241
316,107;131,0,0,54;55;99;154;227
317,6,0,40;44;94,79;85;110;111;129;150;166;230;251
318,97,115,0,36;57;58
319,131,0,0,53;57;129;241;256
320,5,115,81,36;57;255
321,107;131,0,0,66;151;199
322,1,0,0,0
323,107;131,0,0,36;255
324,28,0,0,0
325,107;131,115,26;81,82;129;165;207;255
326,107;131,0,0,7;42;43;91;112;230;269
327,1,0,0,271
328,131,0,0,255
329,107;131,0,0,77;79;129;153;165;180;214;258
330,28,0,0,108;117;156;163;182;201
331,131,0,26;40,77;129;131
332,28,0,43,0
333,58;107,115,0,129
334,6,0,21;27;80;92;96;108;171,0
335,97;107,0,0,36;51;57;61;80;100;150;171;210
336,131,21;35;36;78;95;114;115,0,19;101;107;154;255
337,131,0,0,241
339,107;131,115,0,36;45;57;66;79;83;129;153;165;171;189;207;241;255
340,6,39,0,0
341,56,0,0,0
342,107;131,0,0,255
343,34,0,0,0
344,131,0,26,19
345,131,46,0,255
346,131,51;115,0,47;108;154
347,131,115,0,36;100;126;154;241
348,94,0,0,0
349,97;107,79,0,36;85;129
350,94,0,0,0
351,107;131,0,21;26;49;96,255
352,131,0,0,8;19;25;29;36;57;58;66;83;91;107;129;147;153;169;177;182;218;241;254;255
353,131,0,26,7
354,131,46,0,1;7;8;19;29;42;45;55;66;84;108;128;163;176;227;233;243;268
355,131,0,26,108;119;128;129
356,107;131,0,0,57;83;107;153;156;276
357,28,0,0,100;129;153
358,131,0,0,0
359,28,0,0,7;19;29;37;43;66;83;91;108;111;112;129;158;165;184;190;211;221;235;243;259
360,131,0,0,57;79;100;108;182;241
361,97;107,0,0,42;129;146;230
362,131,1,0,255
363,131,0,0,30;128;241
364,131,0,66;81,0
365,107;131,0,0,57;100;215;241
366,97,0,0,153;232
367,63,0,0,7;58;85;91;129
368,131,33;59;115,26;81,66;71;165;225
369,131,0,0,7;109;116
370,64,0,0,0
371,28,0,0,3;23;43;72;89;91;171;190;225;235;248;255;276
372,28,0,0,57;73;75;76;120
373,97,0,0,0
374,85;80,0,0,0
375,5,16;115,26;81,8;19;57;112;127;153;165;171;232;241;255
376,42,0,13;18;28;69;72;94;95,0
377,131,0,0,29;57;83;153;157;177;182;189;241;268
378,94,0,0,0
379,28,0,0,29;64;69;94;122;154;235
380,97,0,0,36;100;147;150;153;255
381,97,0,0,57;107;129;171;244
382,5,0,26,36;57;107;171
383,131,0,0,8;19;21;75;108;141;150;154;199;235
384,131,115,0,36;57;241
385,131,0,0,26;129;167;171
386,131,0,0,36;57;58;153
387,28,0,0,1;19;68;174;182;215;232
388,131,33;115,0,8;19;23;71;180;190;225;233;243
389,97,6;76,0,7;22;42;102;112;129;230;241;255
390,21,0,0,0
391,131,12,0,81,31
392,28,0,26,273
393,59,0,18;28,36;57;129
394,131,4;5;6;21,20;42;46,7;19;30;43;84;85;110;123;233
395,131,0,26,108;129;255
396,6,0,0,0
397,131,0,81,7;22;23;47;52;66;83;91;129;150;176;188;233;239
398,1,0,83,0
399,131,46,0,7;84;108;167;241;249
400,131,0,0,31;64
401,28,0,0,8;19;23;30;82;165;233;255
402,97,0,0,22;36;91;129;227
403,74,0,0,255
404,28,0,0,7;42;43
405,21,0,0,14;22;54;57;80;90;91;129;171;182;183;187;228;231;246;255
407,85,0,0,0
408,1,0,0,182;255
409,131,46;54,0,7;30;43;79;82;113;128;129
410,6;107,0,13;28,0
411,131,0,0,31;154;196
412,63,0,26;49;81,57;58
413,28,2;33;51;79,0,2;23;83;91;107;108;153;154;189;190;197;206;241;249
414,97,0,0,68;144;241;255
415,131,0,26;81,57;84;100;108;255
416,131,0,0,90;129;143;153
